"born_CH","since","male","kids","unemployed","refugee","married","percent_novotes_rounded","origin_region","application_decade","age","education","local_language","integration_level","skill_level"
0,18.9999997615814,1,1,NA,NA,1,27,"Other Non-European Countries","1990s","41–60 years","low",NA,NA,"low"
1,NA,0,0,NA,NA,0,16,"Southern Europe","1990s","21–40 years","low",NA,NA,NA
0,12.9999995231628,1,0,NA,NA,0,19,"Norther & Western Europe","1990s",NA,"low",NA,NA,NA
0,12.9999995231628,1,1,NA,1,1,54,"Central & Eastern Europe","1980s","41–60 years","low",NA,NA,"high"
0,12.9999995231628,1,1,NA,NA,1,45,"Other Non-European Countries","1990s","41–60 years","low",NA,NA,"low"
0,15,0,0,NA,1,0,26,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,NA,"high"
0,12.9999995231628,0,0,NA,1,0,53,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,NA,"low"
0,12.9999995231628,1,1,NA,NA,1,36,"Norther & Western Europe","1980s","41–60 years","low",NA,NA,"high"
0,15,1,0,NA,1,0,26,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,NA,"low"
0,25.9999990463257,1,1,NA,NA,1,38,"Asian Countries","1990s","41–60 years","low",NA,NA,"high"
0,15,0,0,NA,NA,0,15,"Norther & Western Europe","2000s","41–60 years","low",NA,NA,"middle"
0,24.0000009536743,1,1,NA,NA,1,27,"Southern Europe","1990s","41–60 years","low",NA,NA,"low"
1,NA,1,0,NA,NA,NA,59,"Southern Europe","1980s",NA,"low",NA,NA,"low"
0,13.9999997615814,1,1,NA,1,1,54,"Central & Eastern Europe","1980s","41–60 years","low",NA,NA,"low"
0,12.9999995231628,0,0,NA,1,0,52,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,NA,"low"
0,18.9999997615814,0,0,NA,1,0,20,"Southern Europe","1990s","21–40 years","low",NA,NA,"high"
0,20.9999990463257,0,0,NA,NA,0,32,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
1,NA,0,0,NA,NA,NA,23,"Norther & Western Europe","1980s","21–40 years","low",NA,NA,"high"
1,NA,1,0,NA,NA,0,55,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,NA,NA
0,22.9999995231628,0,1,NA,1,0,54,"Central & Eastern Europe","1970s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,48,"Norther & Western Europe","1980s","41–60 years","low",NA,NA,"high"
0,8.99999976158142,1,0,NA,NA,0,28,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,NA,"high"
0,20,1,1,NA,NA,1,44,"Norther & Western Europe","1980s","41–60 years","low",NA,NA,"low"
0,15,1,0,NA,1,0,23,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
0,15,0,0,NA,1,0,26,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
0,16.0000002384186,1,1,NA,NA,1,29,"Norther & Western Europe","1980s","41–60 years","low",NA,NA,"low"
0,39.0000009536743,1,1,NA,NA,1,45,"Norther & Western Europe","1990s","41–60 years","low",NA,NA,"low"
0,16.0000002384186,0,1,NA,1,0,33,"Central & Eastern Europe","1980s","41–60 years","low",NA,NA,"high"
0,15,0,0,NA,NA,NA,55,"Norther & Western Europe","1980s","21–40 years","low",NA,NA,NA
0,24.0000009536743,1,1,NA,1,1,22,"Asian Countries","2000s","21–40 years","low",NA,NA,"low"
0,12.0000004768372,1,0,NA,NA,0,54,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,NA,"low"
0,NA,1,1,NA,NA,1,54,"Southern Europe","1970s","41–60 years",NA,NA,NA,"low"
0,12.9999995231628,1,1,NA,NA,1,28,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"low"
1,NA,0,0,NA,NA,NA,54,"Norther & Western Europe","1980s",NA,"low",NA,NA,"low"
1,NA,1,1,NA,NA,1,46,"Southern Europe","1970s","60+ years","low",NA,NA,NA
0,12.0000004768372,0,0,NA,NA,0,34,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"low"
1,NA,0,0,NA,NA,0,9,"Southern Europe","2000s","21–40 years","low",NA,NA,"high"
0,13.9999997615814,0,0,NA,1,NA,52,"Central & Eastern Europe","1980s","21–40 years","low",NA,NA,"high"
0,12.0000004768372,1,0,NA,1,0,30,"Other Non-European Countries","2000s","21–40 years","low",NA,NA,"middle"
0,10,0,0,NA,NA,0,44,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,NA,"high"
0,22.0000004768372,1,1,NA,NA,1,32,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"middle"
0,18.9999997615814,1,1,NA,NA,1,54,"Former Yugoslavia and Turkey","1990s","41–60 years","low",NA,NA,"low"
0,20.9999990463257,0,0,NA,NA,NA,33,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
0,12.9999995231628,1,0,NA,1,NA,67,"Central & Eastern Europe","1980s","21–40 years","low",NA,NA,"high"
0,16.0000002384186,0,0,NA,NA,0,37,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
0,17.9999995231628,1,1,NA,NA,1,21,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"middle"
0,17.0000004768372,1,1,NA,NA,1,36,"Norther & Western Europe","1970s","41–60 years","low",NA,NA,"low"
0,37.9999995231628,1,1,NA,NA,1,33,"Norther & Western Europe","1980s","60+ years","low",NA,NA,NA
0,15,0,0,NA,NA,1,4,"Norther & Western Europe","2000s","21–40 years","low",NA,NA,"middle"
0,12.9999995231628,1,1,NA,1,1,52,"Central & Eastern Europe","1990s","41–60 years","low",NA,NA,"high"
0,6.99999988079071,0,1,NA,NA,1,22,"Asian Countries","2000s","21–40 years",NA,NA,NA,NA
1,NA,0,1,NA,NA,1,11,"Southern Europe","2000s","21–40 years","low",NA,NA,NA
0,12.9999995231628,1,1,NA,1,1,63,"Central & Eastern Europe","1980s","41–60 years","low",NA,NA,"high"
0,16.0000002384186,1,0,NA,NA,NA,62,"Southern Europe","1980s",NA,"low",NA,NA,"low"
0,13.9999997615814,1,0,NA,1,1,39,"Central & Eastern Europe","1980s","60+ years","low",NA,NA,"high"
0,13.9999997615814,0,0,NA,NA,0,38,"Asian Countries","1990s","21–40 years","low",NA,NA,"high"
0,NA,1,0,NA,NA,NA,57,"Norther & Western Europe","1970s","21–40 years","low",NA,NA,"high"
0,18.9999997615814,0,1,NA,NA,1,27,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"low"
1,NA,1,0,NA,NA,NA,47,"Southern Europe","1980s","21–40 years","low",NA,NA,"high"
0,12.9999995231628,0,1,NA,NA,1,26,"Asian Countries","2000s","21–40 years","low",NA,NA,"high"
1,NA,1,0,NA,NA,0,17,"Southern Europe","1990s","21–40 years","low",NA,NA,"low"
1,NA,0,0,NA,NA,1,29,"Southern Europe","1990s","21–40 years","low",NA,NA,"high"
1,NA,1,1,NA,NA,0,42,"Southern Europe","1990s","60+ years","low",NA,NA,"low"
0,17.0000004768372,1,1,NA,NA,1,16,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,"good","familiar with Swiss customs and traditions","low"
0,16.0000002384186,1,1,NA,NA,1,28,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,NA
0,30,1,1,NA,NA,1,18,"Southern Europe","1990s","41–60 years",NA,NA,"familiar with Swiss customs and traditions","high"
0,15,1,1,NA,NA,1,29,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,"familiar with Swiss customs and traditions","low"
0,NA,1,1,NA,NA,1,6,"Norther & Western Europe","1980s","41–60 years",NA,NA,"familiar with Swiss customs and traditions",NA
0,15,0,0,NA,NA,0,13,"Norther & Western Europe","2000s","21–40 years","low","perfect","familiar with Swiss customs and traditions",NA
0,NA,0,0,NA,NA,NA,31,"Norther & Western Europe","1980s","21–40 years",NA,"perfect",NA,"high"
0,NA,1,0,NA,NA,0,7,"Norther & Western Europe","1980s",NA,NA,NA,NA,"low"
0,16.0000002384186,1,1,NA,NA,1,27,"Former Yugoslavia and Turkey","1990s","21–40 years",NA,NA,NA,"low"
0,12.9999995231628,0,1,NA,NA,0,15,"Central & Eastern Europe","2000s","21–40 years","low","perfect","familiar with Swiss customs and traditions","high"
0,NA,1,0,NA,NA,1,9,"Norther & Western Europe","1980s","21–40 years",NA,NA,NA,"low"
1,NA,0,0,NA,NA,0,14,"Southern Europe","1990s",NA,"low",NA,NA,"high"
0,12.9999995231628,1,1,NA,NA,0,15,"Central & Eastern Europe","2000s","41–60 years","low","perfect","familiar with Swiss customs and traditions","middle"
0,20,1,1,NA,NA,1,14,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,"perfect","familiar with Swiss customs and traditions",NA
0,NA,1,0,NA,NA,NA,24,"Norther & Western Europe","2000s","21–40 years",NA,NA,NA,NA
0,NA,0,1,NA,NA,NA,32,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,8,"Southern Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,0,4,"Norther & Western Europe","1980s","21–40 years",NA,NA,NA,"middle"
0,NA,0,0,NA,NA,NA,18,"Norther & Western Europe","1990s","41–60 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,0,9,"Norther & Western Europe","1980s","60+ years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,17,"Asian Countries","2000s","41–60 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,0,66,"Norther & Western Europe","1980s","60+ years",NA,NA,NA,NA
0,NA,1,0,NA,NA,0,18,"Asian Countries","1980s","41–60 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,NA,10,"Norther & Western Europe","1990s","21–40 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,24,"Former Yugoslavia and Turkey","1990s",NA,NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,23,"Norther & Western Europe","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,NA,29,"Southern Europe","1980s","41–60 years",NA,NA,NA,NA
0,NA,0,1,NA,NA,0,15,"Central & Eastern Europe","1980s","21–40 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,18,"Former Yugoslavia and Turkey","2000s",NA,NA,NA,NA,NA
0,NA,0,0,NA,NA,0,3,"Southern Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,0,0,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,7,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,NA,5,"Norther & Western Europe","1990s","60+ years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,9,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,0,4,"Norther & Western Europe","1980s",NA,NA,NA,NA,NA
0,NA,1,1,NA,NA,1,29,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,1,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,0,0,NA,NA,NA,10,"Norther & Western Europe","1980s","60+ years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,0,0,"Norther & Western Europe","1980s",NA,NA,NA,NA,NA
0,NA,1,1,NA,NA,1,4,"Southern Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,0,0,NA,NA,NA,17,"Norther & Western Europe","2000s",NA,NA,NA,NA,NA
0,NA,1,0,NA,NA,0,0,"Norther & Western Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,1,7,"Norther & Western Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,24,"Central & Eastern Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,33,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,1,5,"Norther & Western Europe","1990s","60+ years",NA,NA,NA,NA
0,NA,1,0,NA,NA,0,12,"Southern Europe","1980s",NA,NA,NA,NA,NA
0,NA,1,0,NA,NA,0,19,"Southern Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,1,10,"Southern Europe","1970s","41–60 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,9,"Norther & Western Europe","1980s","21–40 years",NA,NA,NA,"middle"
0,NA,1,1,NA,NA,1,23,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,0,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,0,10,"Former Yugoslavia and Turkey","1990s",NA,NA,NA,NA,NA
0,NA,0,1,NA,NA,NA,28,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,11,"Southern Europe","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,1,32,"Central & Eastern Europe","1980s","41–60 years",NA,NA,NA,"middle"
0,NA,1,1,NA,NA,1,20,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,9,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,NA,16,"Former Yugoslavia and Turkey","1990s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,0,"Norther & Western Europe","1990s","41–60 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,3,"Southern Europe","1970s","21–40 years",NA,NA,NA,"low"
0,NA,0,0,NA,NA,NA,25,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,3,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,NA,15,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"low"
0,NA,0,0,NA,NA,NA,7,"Asian Countries","1980s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,NA,10,"Central & Eastern Europe","1990s","41–60 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,NA,8,"Southern Europe","1990s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,11,"Southern Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,29,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,5,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,0,32,"Central & Eastern Europe","1980s","21–40 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,37,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,NA,2,"Southern Europe","1980s","21–40 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,27,"Southern Europe","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,0,15,"Former Yugoslavia and Turkey","1990s","21–40 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,15,"Former Yugoslavia and Turkey","1990s","21–40 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,0,27,"Norther & Western Europe","1980s","21–40 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,5,"Norther & Western Europe","2000s","21–40 years",NA,NA,NA,"middle"
0,NA,0,0,NA,NA,0,6,"Norther & Western Europe","1990s",NA,NA,NA,NA,NA
0,NA,0,0,NA,NA,0,66,"Southern Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,0,9,"Central & Eastern Europe","1980s",NA,NA,NA,NA,NA
0,NA,1,0,NA,NA,1,27,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,10,"Southern Europe","1980s","41–60 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,9,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"middle"
0,NA,1,1,NA,NA,1,4,"Southern Europe","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,35,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,7,"Norther & Western Europe","1990s",NA,NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,24,"Former Yugoslavia and Turkey","1990s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,5,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,NA,7,"Norther & Western Europe","1970s","21–40 years",NA,NA,NA,"high"
0,NA,0,1,NA,NA,NA,19,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,10,"Southern Europe","1970s","21–40 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,0,6,"Norther & Western Europe","1980s",NA,NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,85,"Southern Europe","1970s","41–60 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,NA,33,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,18,"Former Yugoslavia and Turkey","1990s",NA,NA,NA,NA,"high"
0,NA,0,0,NA,NA,NA,6,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,27,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,34,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,1,20,"Norther & Western Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,0,8,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,9,"Norther & Western Europe","1990s",NA,NA,NA,NA,NA
0,NA,1,1,NA,NA,1,21,"Former Yugoslavia and Turkey","1980s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,24,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,22,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,33,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,6,"Norther & Western Europe","1990s","21–40 years",NA,NA,NA,NA
0,NA,0,1,NA,NA,0,13,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,0,1,NA,NA,NA,16,"Norther & Western Europe","1990s","41–60 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,NA,7,"Norther & Western Europe","1990s","60+ years",NA,NA,NA,NA
0,NA,0,1,NA,NA,NA,18,"Asian Countries","1990s","41–60 years",NA,NA,NA,"high"
0,NA,0,1,NA,NA,NA,36,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,6,"Southern Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,34,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,NA,31,"Other Non-European Countries","2000s","21–40 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,20,"Norther & Western Europe","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,8,"Southern Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,NA,13,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,4,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,11,"Southern Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,7,"Southern Europe","1970s",NA,NA,NA,NA,"high"
0,NA,1,0,NA,NA,0,16,"Southern Europe","1980s",NA,NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,28,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,11,"Norther & Western Europe","1990s","21–40 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,25,"Former Yugoslavia and Turkey","2000s",NA,NA,NA,NA,NA
0,NA,1,1,NA,NA,1,3,"Southern Europe","1980s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,1,16,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,29,"Former Yugoslavia and Turkey","1990s","21–40 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,16,"Norther & Western Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,0,66,"Southern Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,36,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,16,"Former Yugoslavia and Turkey","1990s",NA,NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,19,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,23,"Former Yugoslavia and Turkey","1990s",NA,NA,NA,NA,"high"
0,NA,0,0,NA,NA,NA,4,"Southern Europe","1970s","60+ years",NA,NA,NA,NA
0,NA,1,0,NA,NA,1,16,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,1,21,"Central & Eastern Europe","1980s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,NA,15,"Asian Countries","1990s","21–40 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,1,1,"Southern Europe","1970s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,0,26,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,30,"Former Yugoslavia and Turkey","2000s",NA,NA,NA,NA,NA
0,NA,1,1,NA,NA,NA,8,"Norther & Western Europe","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,NA,31,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,0,18,"Southern Europe","1980s",NA,NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,6,"Norther & Western Europe","1990s",NA,NA,NA,NA,NA
0,NA,1,0,NA,NA,0,20,"Southern Europe","1980s","21–40 years",NA,NA,NA,"low"
0,NA,0,0,NA,NA,NA,7,"Asian Countries","1990s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,22,"Asian Countries","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,NA,6,"Asian Countries","1980s","21–40 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,0,7,"Southern Europe","1980s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,NA,38,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,0,4,"Southern Europe","1990s",NA,NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,5,"Norther & Western Europe","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,39,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,0,0,"Norther & Western Europe","1980s",NA,NA,NA,NA,NA
0,NA,1,1,NA,NA,1,22,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"low"
0,NA,0,0,NA,NA,NA,29,"Former Yugoslavia and Turkey","2000s",NA,NA,NA,NA,NA
0,NA,1,1,NA,NA,1,9,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"middle"
0,NA,1,0,NA,NA,1,31,"Former Yugoslavia and Turkey","1990s","21–40 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,2,"Asian Countries","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,NA,8,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,15,"Southern Europe","2000s","21–40 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,26,"Asian Countries","2000s","21–40 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,11,"Central & Eastern Europe","1980s","41–60 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,32,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,14,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,7,"Southern Europe","1980s","21–40 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,11,"Southern Europe","1980s","21–40 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,20,"Norther & Western Europe","2000s",NA,NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,12,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"high"
0,NA,0,0,NA,NA,0,6,"Norther & Western Europe","1990s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,NA,4,"Southern Europe","1970s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,27,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,"middle"
0,13.9999997615814,1,1,0,0,1,61,"Former Yugoslavia and Turkey","1990s","41–60 years","low","good","assimilated","low"
0,15,0,0,0,1,0,42,"Asian Countries","1990s","21–40 years","low","perfect","assimilated","high"
0,10,0,0,0,1,0,52,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,"highly integrated",NA
1,25,1,0,0,0,0,45,"Central & Eastern Europe","1980s","21–40 years","low",NA,"familiar with Swiss customs and traditions","low"
0,15,1,1,0,1,1,44,"Asian Countries","2000s","41–60 years","low",NA,"familiar with Swiss customs and traditions","high"
0,11.0000002384186,0,0,0,0,0,53,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,"familiar with Swiss customs and traditions",NA
0,15,1,0,0,0,0,53,"Norther & Western Europe","1980s","60+ years","low",NA,NA,NA
0,NA,1,1,0,0,1,40,"Other Non-European Countries","1970s","21–40 years",NA,NA,NA,"high"
1,15,0,0,0,0,0,21,"Southern Europe","2000s",NA,"low","perfect","familiar with Swiss customs and traditions",NA
1,18.9999997615814,1,0,0,0,0,42,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,"familiar with Swiss customs and traditions","high"
1,18.9999997615814,0,0,0,0,0,55,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,"familiar with Swiss customs and traditions","high"
1,15,1,0,0,0,0,55,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,"familiar with Swiss customs and traditions",NA
0,20,0,0,0,0,0,56,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"familiar with Swiss customs and traditions","high"
0,13.9999997615814,1,1,0,0,1,53,"Norther & Western Europe","1980s","21–40 years","low",NA,NA,"high"
1,29.0000009536743,1,0,0,0,0,33,"Southern Europe","2000s","21–40 years","low",NA,"familiar with Swiss customs and traditions","high"
0,16.0000002384186,1,0,0,0,0,32,"Norther & Western Europe","1980s",NA,"low",NA,"familiar with Swiss customs and traditions",NA
1,13.9999997615814,1,0,0,0,0,32,"Norther & Western Europe","1980s",NA,"low",NA,"familiar with Swiss customs and traditions",NA
0,13.9999997615814,1,1,0,0,1,46,"Norther & Western Europe","1970s","41–60 years",NA,NA,"familiar with Swiss customs and traditions","low"
